product_id,product_name,product_image,product_deeplink
1,Lohi-makaroonilaatikko,https://hatala.fi/wp-content/uploads/2023/02/Hatala-Kalajauhis-Makaroonilaatikko-1920x1080-1.jpg,https://hatala.fi/kalareseptit/lohi-makaronilaatikko/
2,Lohikiusaus,https://hatala.fi/wp-content/uploads/2019/04/Hatala-Lohikiusaus-1920x1080-1.jpg,https://hatala.fi/kalareseptit/lohikiusaus/
3,Savuinen lohipihvi kanttarellikastikkeella,https://hatala.fi/wp-content/uploads/2021/04/Savuinen-lohipihvi-kanttarellikastike.jpg,https://hatala.fi/kalareseptit/savuinen-lohipihvi-kanttarellikastikkeella/
